Усть-Илимск,86591
Усть-Кут,45061
Черемхово,52650
Шелехов,47960
Баксан,36857
Майский,26755
Нальчик,240095
Нарткала,31679
Прохладный,59595
Терек,19170
Тырныауз,21000
Чегем,17988
Багратионовск,6399
Балтийск,32670
Гвардейск,13888
Гурьевск,12433
Гусев,28260
Зеленоградск,13015
Калининград,431491
Краснознаменск,3522
Ладушкин,3788
Мамоново,7757
Неман,11794
Нестеров,4584
Озерск,4740
Пионерский,11017
Полесск,7580
Правдинск,4323
Приморск,1956
Светлогорск,10775
Светлый,21380
Славск,4614
Советск,41709
Черняховск,40464
Городовиковск,9565
Лагань,14323
Элиста,103728
Балабаново,26337
Белоусово,8432
Боровск,12283
Ермолино,10409
Жиздра,5585
Жуков,12150
Калуга,325185
Киров,31888
Козельск,18203
Кондрово,16672
Кременки,11617
Людиново,40550
Малоярославец,30401
Медынь,8298
Мещовск,4101
Мосальск,4285
Обнинск,104798
Сосенский,12394
Спас-Деменск,4904
Сухиничи,16295
Таруса,9656
Юхнов,7056
Вилючинск,22905
Елизово,39548
Петропавловск-Камчатский,179526
Карачаевск,23848
Теберда,9097
Усть-Джегута,30602
Черкесск,121439
Беломорск,11217
Кемь,13061
Кондопога,32978
Костомукша,28433
Лахденпохья,7818
Медвежьегорск,15536
Олонец,9060
Петрозаводск,263540
Питкяранта,11484
Пудож,9698
Сегежа,29660
Сортавала,19215
Суоярви,9763
Анжеро-Судженск,76669
Белово,76752
Березовский,47292
Гурьевск,24816
Калтан,21893
Кемерово,532884
Киселевск,98382
Ленинск-Кузнецкий,101666
Мариинск,40522
Междуреченск,101995
Мыски,43029
Новокузнецк,547885
Осинники,45997
Полысаево,27624
Прокопьевск,210150
Салаир,8263
Тайга,25330
Таштагол,23114
Топки,28642
Юрга,81536
Белая Холуница,11232
Вятские Поляны,35159
Зуевка,11198
Киров,473668
Кирово-Чепецк,80920
Кирс,10420
Котельнич,24979
Луза,11262
Малмыж,8265
Мураши,6752
Нолинск,9556
Омутнинск,23618
Орлов,6959
Слободской,33983
Советск,16592
Сосновка,11960
Уржум,10213
Яранск,17252
Воркута,70551
Вуктыл,12357
Емва,14574
Инта,32021
Микунь,10732
Печора,43458
Сосногорск,27809
Сыктывкар,235006
Усинск,41100
Ухта,99642
Буй,25763
Волгореченск,17108
Галич,17346
Кологрив,3314
Кострома,268617
Макарьев,7114
Мантурово,17479
Нерехта,22817
Нея,9827
Солигалич,6438
Чухлома,5209
Шарья,23668
Абинск,34926
Анапа,58983
Апшеронск,40229
Армавир,188897
Белореченск,53891
Геленджик,54813
Горячий Ключ,30093
Гулькевичи,35225
Ейск,87771
Кореновск,41179
Краснодар,744933
Кропоткин,80743
Крымск,57370
Курганинск,47974
Лабинск,62822
Новокубанск,34847
Новороссийск,241788
Приморско-Ахтарск,32253
Славянск-на-Кубани,63768
Сочи,343285
Темрюк,38014
Тимашевск,53921
Тихорецк,61825
Туапсе,63233
Усть-Лабинск,43268
Хадыженск,21580
Артемовск,2180
Ачинск,109156
Боготол,21029
Бородино,17423
Дивногорск,28271
Дудинка,22207
Енисейск,18769
Железногорск,85559
Заозерный,10683
Зеленогорск,66018
Игарка,6183
Иланский,16108
Канск,94230
Кодинск,14835
Красноярск,973826
Лесосибирск,61146
Минусинск,71171
Назарово,52829
Норильск,175301
Сосновоборск,33090
Ужур,16079
Уяр,12666
Шарыпово,38570
Ялта,7771
Алушта,29078
Армянск,21987
Бахчисарай,27448
Белогорск,16354
Джанкой,38622
Евпатория,105719
Керчь,147033
Красноперекопск,26268
Саки,25146
Симферополь,332317
Старый Крым,9277
Судак,16492
Феодосия,69038
Щелкино,10620
Ялта,76746
Далматово,13913
Катайск,14017
Курган,333640
Куртамыш,17098
Макушино,8337
Петухово,11291
Шадринск,77744
Шумиха,17821
Щучье,10971
Дмитриев,7721
Железногорск,95057
Курск,414595
Курчатов,42691
Льгов,21452
Обоянь,13562
Рыльск,15667
Суджа,6036
Фатеж,5404
Щигры,17043
Бокситогорск,16593
Волосово,12162
Волхов,47344
Всеволожск,59689
Выборг,80013
Высоцк,1244
Гатчина,92566
Ивангород,9797
Каменногорск,6761
Кингисепп,48667
Кириши,52826
Кировск,25633
Коммунар,20265
Кудрово,13501[4]
Лодейное Поле,21053
Луга,36409
Любань,4188
Мурино,19775[4]
Никольское,19345
Новая Ладога,8890
Отрадное,23874
Пикалево,21567
Подпорожье,18729
Приморск,6122
Приозерск,18929
Светогорск,15973
Сертолово,47854
Сланцы,33587
Сосновый Бор,65901
Сясьстрой,13747
Тихвин,58843
Тосно,39127
Шлиссельбург,13305
Грязи,46798
Данков,21056
Елец,108404
Задонск,9695
Лебедянь,20991
Липецк,508124
Усмань,18752
Чаплыгин,12656
Магадан,95925
Сусуман,5865
Волжск,55671
Звенигово,11945
Йошкар-Ола,248688
Козьмодемьянск,21262
Ардатов,9400
Инсар,8687
Ковылкино,21307
Краснослободск,10151
Рузаевка,47529
Саранск,318841
Темников,7247
Москва,11514330
Апрелевка,18467
Балашиха,215353
Белоозерский,17842
Бронницы,21102
Верея,5368
Видное,56798
Волоколамск,23386
Воскресенск,91301
Высоковск,10642
Голицыно,17447
Дедовск,29280
Дзержинский,47125
Дмитров,61454
Долгопрудный,90976
Домодедово,96123
Дрезна,11815
Дубна,70569
Егорьевск,70133
Жуковский,102729
Зарайск,24648
Звенигород,16395
Ивантеевка,58594
Истра,35106
Кашира,41880
Клин,80584
Коломна,144642
Королев,183452
Котельники,32347
Красноармейск,26294
Красногорск,116738
Краснозаводск,13432
Краснознаменск,36057
Кубинка,22918
Куровское,21821
Ликино-Дулёво,31331
Лобня,74350
Лосино-Петровский,22550
Луховицы,29849
Лыткарино,55147
Люберцы,171978
Можайск,31388
Мытищи,173341
Наро-Фоминск,64640
Ногинск,99762
Одинцово,139021
Озеры,25788
Орехово-Зуево,120620
Павловский Посад,63771
Пересвет,14142
Подольск,187956
Протвино,37308
Пушкино,102840
Пущино,20263
Раменское,96355
Реутов,87195
Рошаль,21265
Руза,13495
Сергиев Посад,110878
Серпухов,126496
Солнечногорск,52996
Старая Купавна,21859
Ступино,66942
Талдом,13819
Фрязино,55449
Химки,207125
Хотьково,21612
Черноголовка,20986
Чехов,60677
Шатура,32836
Щелково,110380
Электрогорск,22120
Электросталь,155324
Электроугли,20120
Яхрома,13248
Апатиты,59690
Гаджиево,11089
Заозерск,11206
Заполярный,15835
Кандалакша,35659
Кировск,28659
Ковдор,18836
Кола,10447
Мончегорск,45381
Мурманск,307664
Оленегорск,23079
Островной,2177
Полярные Зори,15106
Полярный,17304
Североморск,50076
Снежногорск,12698
Нарьян-Мар,21296
Арзамас,106367
Балахна,51526
Богородск,25497
Бор,78079
Ветлуга,8956
Володарск,9924
Ворсма,11622
Выкса,56196
Горбатов,2278
Городец,30699
Дзержинск,240762
Заволжье,40265
Княгинино,6708
Кстово,66641
Кулебаки,35762
Лукоянов,14949
Лысково,21882
Навашино,16413
Нижний Новгород,1250615
Павлово,60699
Первомайск,14567
Перевоз,9201
Саров,92073
Семенов,24472
Сергач,21387
Урень,12311
Чкаловск,12371
Шахунья,21337
Боровичи,54731
Валдай,16099
Великий Новгород,218724
Малая Вишера,12461
Окуловка,12464
Пестово,15911
Сольцы,10317
Старая Русса,32235
Холм,3829
Чудово,16148
Барабинск,30250
Бердск,98809
Болотное,16969
Искитим,60072
Карасук,28929
Каргат,10620
Куйбышев,47278
Купино,15448
Новосибирск,1498921
Обь,26137
Татарск,26114
Тогучин,21531
Черепаново,19346
Чулым,11964
Исилькуль,25905
Калачинск,24000
Называевск,12119
Омск,1154000
Тара,26664
Тюкалинск,12050
Абдулино,20663
Бугуруслан,52249
Бузулук,82816
Гай,38302
Кувандык,26176
Медногорск,27253
Новотроицк,97914
Оренбург,570329
Орск,238006
Соль-Илецк,26308
Сорочинск,30136
Ясный,16082
Болхов,11421
Дмитровск,5956
Ливны,50430
Малоархангельск,3872
Мценск,43216
Новосиль,3799
Орёл,317854
Белинский,8567
Городище,8102
Заречный,63579
Каменка,39579
Кузнецк,88886
Нижний Ломов,22678
Никольск,22471
Пенза,519592
Сердобск,35393
Спасск,7442
Сурск,7032
Александровск,15022
Березники,156350
Верещагино,22760
Горнозаводск,12334
Гремячинск,11005
Губаха,27544
Добрянка,35720
Кизел,20277
Красновишерск,17129
Краснокамск,52632
Кудымкар,30711
Кунгур,67857
Лысьва,67712
Нытва,19041
Оса,22420
Оханск,7597
Очер,15003
Пермь,1000679
Соликамск,97239
Усолье,5694
Чайковский,82933
Чердынь,4920
Чермоз,4017
Чернушка,33275
Чусовой,46740
Арсеньев,56742
Артем,102636
Большой Камень,39257
Владивосток,592069
Дальнегорск,37503
Дальнереченск,27601
Лесозаводск,36975
Находка,159695
Партизанск,38648
Спасск-Дальний,44166
Уссурийск,157946
Фокино,23683
Великие Луки,98778
Гдов,4379
Дно,9061
Невель,16324
Новоржев,3695
Новосокольники,8119
Опочка,11601
Остров,21670
Печоры,12308
Порхов,10608
Псков,203974
Пустошка,4619
Пыталово,5826
Себеж,6375
Азов,82882
Аксай,41984
Батайск,112400
Белая Калитва,43688
Волгодонск,170621
Гуково,67268
Донецк,50085
Зверево,22416
Зерноград,26850
Каменск-Шахтинский,95306
Константиновск,17926
Красный Сулин,40866
Миллерово,36493
Морозовск,27644
Новочеркасск,169039
Новошахтинск,111087
Пролетарск,20267
Ростов-на-Дону,1091544
Сальск,61312
Семикаракорск,23884
Таганрог,257692
Цимлянск,15029
Шахты,240152
Касимов,33494
Кораблино,12657
Михайлов,11783
Новомичуринск,19309
Рыбное,18378
Ряжск,21676
Рязань,525062
Сасово,28117
Скопин,30374
Спас-Клепики,5917
Спасск-Рязанский,7745
Шацк,6562
Жигулевск,57565
Кинель,34472
Нефтегорск,18732
Новокуйбышевск,108449
Октябрьск,27244
Отрадный,47709
Похвистнево,28181
Самара,1164900
Сызрань,178773
Тольятти,719484
Чапаевск,72689
Санкт-Петербург,4848742
Аркадак,12846
Аткарск,25620
Балаково,199576
Балашов,82222
Вольск,66520
Ершов,21447
Калининск,16442
Красноармейск,24362
Красный Кут,14420
Маркс,31535
Новоузенск,17015
Петровск,31158
Пугачев,41705
Ртищево,41295
Саратов,836900
Хвалынск,13199
Шиханы,6067
Энгельс,202838
Александровск-Сахалинский,10613
Анива,8449
Долинск,12200
Корсаков,33526
Курильск,2070
Макаров,6788
Невельск,11682
Оха,23007
Поронайск,16461
Северо-Курильск,2381
Томари,4537
Углегорск,11880
Холмск,30936
Южно-Сахалинск,181727
Алапаевск,38198
Арамиль,14227
Артемовский,32878
Асбест,70067
Березовский,51583
Богданович,31752
Верхний Тагил,11843
Верхняя Пышма,58707
Верхняя Салда,46240
Верхняя Тура,9468
Верхотурье,8815
Волчанск,10008
Дегтярск,15521
Екатеринбург,1377738
Заречный,26803
Ивдель,17764
Ирбит,38352
Каменск-Уральский,174710
Камышлов,26875
Карпинск,29118
Качканар,42563
Кировград,21959
Краснотурьинск,59701
Красноуральск,24973
Красноуфимск,39765
Кушва,33027
Лесной,52464
Михайловск,9215
Невьянск,25147
Нижние Серги,11217
Нижний Тагил,361883
Нижняя Салда,17969
Нижняя Тура,21596
Новая Ляля,12400
Новоуральск,91813
Первоуральск,149800
Полевской,64316
Ревда,61713
Реж,38709
Североуральск,29279
Серов,99381
Среднеуральск,20357
Сухой Лог,34836
Сысерть,20594
Тавда,35421
Талица,18339
Туринск,17990
Севастополь,393304
Алагир,20949
Ардон,18774
Беслан,36724
Владикавказ,311635
Дигора,10856
Моздок,38748
Велиж,7620
Вязьма,57103
Гагарин,31721
Демидов,7333
Десногорск,29677
Дорогобуж,10720
Духовщина,4370
Ельня,10095
Починок,8776
Рославль,54898
Рудня,10029
Сафоново,46116
Смоленск,326863
Сычевка,8111
Ярцево,47853
Благодарный,32736
Буденновск,64628
Георгиевск,72126
Ессентуки,100969
Железноводск,24496
Зеленокумск,35790
Изобильный,40546
Ипатово,26055
Кисловодск,128502
Лермонтов,22540
Минеральные Воды,76715
Михайловск,71018
Невинномысск,118351
Нефтекумск,27700
Новоалександровск,26759
Новопавловск,26556
Пятигорск,142397
Светлоград,38520
Ставрополь,398266
Жердевка,15211
Кирсанов,17240
Котовск,31851
Мичуринск,98758
Моршанск,41550
Рассказово,45484
Тамбов,280457
Уварово,26829
Агрыз,19299
Азнакаево,34859
Альметьевск,146309
Арск,18114
Бавлы,22109
Болгар,8650
Бугульма,89144
Буинск,20342
Елабуга,70750
Заинск,41798
Зеленодольск,97651
Иннополис,96[3]
Казань,1216965
Кукмор,17700[4]
